Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
36,503,51,2019-01-31,GSW,,PHI,L 104-113,*,34:48,1,6,.167,0,4,.000,1,2,.500,.167,2,2,1.000,1,7,8,10,4,3,2,4,4,12.5,1
37,504,52,2019-02-02,GSW,,LAL,W 115-101,*,27:24,2,5,.400,0,1,.000,2,4,.500,.400,0,0,,2,1,3,7,1,3,0,5,4,9.0,4
38,505,53,2019-02-06,GSW,,SAS,W 141-102,*,24:26,3,6,.500,1,3,.333,2,3,.667,.583,0,0,,0,5,5,4,2,0,3,2,7,6.5,17
39,506,54,2019-02-08,GSW,@,PHO,W 117-107,*,25:43,5,7,.714,0,2,.000,5,5,1.000,.714,3,4,.750,0,4,4,3,0,1,4,3,13,8.5,-16
40,507,55,2019-02-10,GSW,,MIA,W 120-118,*,35:21,1,3,.333,0,1,.000,1,2,.500,.333,3,5,.600,1,6,7,14,1,1,3,3,5,12.3,-16
41,508,56,2019-02-12,GSW,,UTA,W 115-108,*,33:34,3,7,.429,0,4,.000,3,3,1.000,.429,0,0,,0,7,7,6,2,2,1,0,6,11.0,1
42,509,57,2019-02-13,GSW,@,POR,L 107-129,*,32:10,4,7,.571,1,4,.250,3,3,1.000,.643,0,0,,1,4,5,7,0,2,3,5,9,8.9,-14
43,510,58,2019-02-21,GSW,,SAC,W 125-123,*,33:41,3,6,.500,3,5,.600,0,1,.000,.750,3,4,.750,0,6,6,8,0,0,1,3,12,13.8,3
44,511,59,2019-02-23,GSW,,HOU,L 112-118,*,24:15,2,6,.333,0,2,.000,2,4,.500,.333,0,2,.000,0,4,4,3,0,0,3,3,4,-1.1,0
45,512,60,2019-02-25,GSW,@,CHO,W 121-110,*,34:26,6,8,.750,1,3,.333,5,5,1.000,.813,1,1,1.000,2,6,8,10,1,3,6,2,14,17.3,6
46,513,61,2019-02-27,GSW,@,MIA,L 125-126,*,22:44,2,4,.500,1,2,.500,1,2,.500,.625,0,0,,0,3,3,2,1,0,1,6,5,2.9,5
47,514,62,2019-02-28,GSW,@,ORL,L 96-103,*,38:45,2,4,.500,1,2,.500,1,2,.500,.625,0,0,,1,5,6,3,1,1,0,2,5,8.2,-12
48,515,63,2019-03-02,GSW,@,PHI,W 120-117,*,34:53,2,4,.500,0,0,,2,4,.500,.500,2,2,1.000,0,9,9,10,3,0,3,4,6,12.1,0
49,516,64,2019-03-05,GSW,,BOS,L 95-128,*,24:38,2,3,.667,1,2,.500,1,1,1.000,.833,0,0,,2,4,6,5,1,1,2,4,5,7.9,-18
50,517,65,2019-03-08,GSW,,DEN,W 122-105,*,36:27,1,4,.250,0,2,.000,1,2,.500,.250,2,4,.500,0,10,10,5,2,0,3,4,4,4.7,24
51,518,66,2019-03-10,GSW,,PHO,L 111-115,*,31:37,3,9,.333,0,3,.000,3,6,.500,.333,0,0,,2,9,11,8,1,1,0,3,6,11.1,-5
52,519,67,2019-03-13,GSW,@,HOU,W 106-104,*,36:43,1,5,.200,0,2,.000,1,3,.333,.200,0,0,,0,5,5,5,1,1,4,3,2,0.4,-4
53,520,68,2019-03-16,GSW,@,OKC,W 110-88,*,34:24,3,6,.500,3,4,.750,0,2,.000,.750,0,0,,0,8,8,6,1,1,2,2,9,11.5,17
54,521,69,2019-03-18,GSW,@,SAS,L 105-111,*,35:37,4,8,.500,2,4,.500,2,4,.500,.625,0,2,.000,0,3,3,7,1,3,3,2,10,10.3,2
55,522,70,2019-03-19,GSW,@,MIN,W 117-107,*,32:35,2,5,.400,0,2,.000,2,3,.667,.400,1,2,.500,0,10,10,9,1,4,4,4,5,9.4,15
56,523,71,2019-03-21,GSW,,IND,W 112-89,*,29:28,4,5,.800,1,1,1.000,3,4,.750,.900,1,1,1.000,0,7,7,5,0,0,2,1,10,11.3,24
57,524,72,2019-03-23,GSW,,DAL,L 91-126,*,25:12,2,4,.500,1,2,.500,1,2,.500,.625,1,2,.500,0,3,3,2,1,0,2,2,6,4.1,-29
58,525,73,2019-03-24,GSW,,DET,W 121-114,*,34:53,5,11,.455,1,3,.333,4,8,.500,.500,3,4,.750,3,2,5,8,0,0,3,5,14,11.2,14
59,526,74,2019-03-27,GSW,@,MEM,W 118-103,*,32:33,2,7,.286,1,4,.250,1,3,.333,.357,1,2,.500,0,7,7,6,2,2,4,1,6,6.8,13
60,527,75,2019-03-29,GSW,@,MIN,L 130-131 (OT),*,41:59,3,7,.429,0,2,.000,3,5,.600,.429,3,4,.750,4,6,10,5,4,0,1,2,9,15.2,5
61,528,76,2019-03-31,GSW,,CHO,W 137-90,*,29:05,4,6,.667,2,4,.500,2,2,1.000,.833,0,0,,0,5,5,9,0,1,3,0,10,12.9,33
62,529,77,2019-04-02,GSW,,DEN,W 116-102,*,30:07,3,6,.500,0,2,.000,3,4,.750,.500,0,0,,1,8,9,9,1,2,4,2,6,10.0,20
63,530,78,2019-04-04,GSW,@,LAL,W 108-90,*,29:29,5,8,.625,2,3,.667,3,5,.600,.750,0,0,,2,2,4,6,1,2,2,1,12,14.6,32
64,531,79,2019-04-05,GSW,,CLE,W 120-114,*,36:06,8,14,.571,3,7,.429,5,7,.714,.679,1,1,1.000,0,8,8,5,1,1,3,2,20,17.2,5
65,532,80,2019-04-07,GSW,,LAC,W 131-104,*,29:35,4,9,.444,0,1,.000,4,8,.500,.444,2,2,1.000,2,8,10,9,5,3,2,2,10,19.7,35
66,533,81,2019-04-09,GSW,@,NOP,W 112-103,*,17:52,0,2,.000,0,0,,0,2,.000,.000,0,0,,0,6,6,2,0,0,3,2,0,-2.0,-1
66,,82,2019-04-10,GSW,@,MEM,L 117-132,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,48-18,66,2064,188,422,.445,47,165,.285,141,257,.549,.501,63,91,.692,60,421,481,454,95,70,169,197,486,9.7,464
